"","rank","movie_name","movie_year","movie_duration","movie_rating","movie_genre","gross_dollars","watchlist"
"1",1,"Jai Bhim",2021,164,9.3,"
Crime, Drama, Mystery            ",4954.36274475428,"1"
"2",2,"The Shawshank Redemption",1994,142,9.3,"
Drama            ",4093.85866158875,"1"
"3",3,"The Godfather",1972,175,9.2,"
Crime, Drama            ",4954.36274475428,"1"
"4",4,"The Dark Knight",2008,152,9,"
Action, Crime, Drama            ",4954.36274475428,"1"
"5",5,"The Godfather: Part II",1974,202,9,"
Crime, Drama            ",2234.99985539354,"1"
"6",6,"12 Angry Men",1957,96,9,"
Crime, Drama            ",2930.57293198304,"1"
"7",7,"The Lord of the Rings: The Return of the King",2003,201,8.9,"
Action, Adventure, Drama            ",5844.81829864671,"1"
"8",8,"Pulp Fiction",1994,154,8.9,"
Crime, Drama            ",4914.20579258818,"1"
"9",9,"Schindler's List",1993,195,8.9,"
Biography, Drama, History            ",9230.76124918647,"1"
"10",10,"Inception",2010,148,8.8,"
Action, Adventure, Sci-Fi            ",2805.15051116934,"1"
"11",11,"Fight Club",1999,139,8.8,"
Drama            ",7719.35165979667,"1"
"12",12,"The Lord of the Rings: The Fellowship of the Ring",2001,178,8.8,"
Action, Adventure, Drama            ",8569.9350736849,"1"
"13",13,"Forrest Gump",1994,142,8.8,"
Drama, Romance            ",7583.49866219796,"1"
"14",14,"Il buono, il brutto, il cattivo",1966,161,8.8,"
Adventure, Western            ",8504.51725278283,"1"
"15",15,"Spider-Man: No Way Home",2021,148,8.7,"
Action, Adventure, Fantasy            ",4098.87359604007,"1"
"16",16,"The Lord of the Rings: The Two Towers",2002,179,8.7,"
Action, Adventure, Drama            ",559.61968875723,"1"
"17",17,"The Matrix",1999,136,8.7,"
Action, Sci-Fi            ",5785.44830697821,"1"
"18",18,"Goodfellas",1990,146,8.7,"
Biography, Crime, Drama            ",7453.06809413712,"1"
"19",19,"Star Wars: Episode V - The Empire Strikes Back",1980,124,8.7,"
Action, Adventure, Fantasy            ",8864.27223133389,"1"
"20",20,"One Flew Over the Cuckoo's Nest",1975,133,8.7,"
Drama            ",317.580011789687,"1"
"21",21,"Gisaengchung",2019,132,8.6,"
Comedy, Drama, Thriller            ",6252.60346490424,"0"
"22",22,"Interstellar",2014,169,8.6,"
Adventure, Drama, Sci-Fi            ",6039.34306882089,"0"
"23",23,"Cidade de Deus",2002,130,8.6,"
Crime, Drama            ",781.750995598268,"0"
"24",24,"Sen to Chihiro no kamikakushi",2001,125,8.6,"
Animation, Adventure, Family            ",4144.21729296213,"0"
"25",25,"Saving Private Ryan",1998,169,8.6,"
Drama, War            ",3433.62658276921,"0"
"26",26,"The Green Mile",1999,189,8.6,"
Crime, Drama, Fantasy            ",2030.16569422092,"0"
"27",27,"La vita è bella",1997,116,8.6,"
Comedy, Drama, Romance            ",8403.85630429257,"0"
"28",28,"Se7en",1995,127,8.6,"
Crime, Drama, Mystery            ",2668.12718837056,"0"
"29",29,"The Silence of the Lambs",1991,118,8.6,"
Crime, Drama, Thriller            ",8313.43555127736,"0"
"30",30,"Star Wars",1977,121,8.6,"
Action, Adventure, Fantasy            ",3852.94381601503,"0"
"31",31,"Seppuku",1962,133,8.6,"
Action, Drama, Mystery            ",8208.92864679452,"0"
"32",32,"Shichinin no samurai",1954,207,8.6,"
Action, Drama            ",3084.08547194675,"0"
"33",33,"It's a Wonderful Life",1946,130,8.6,"
Comedy, Drama, Family            ",4405.59845266631,"0"
"34",34,"Whiplash",2014,106,8.5,"
Drama, Music            ",8655.41186714545,"0"
"35",35,"The Intouchables",2011,112,8.5,"
Biography, Comedy, Drama            ",1115.41203734232,"0"
"36",36,"The Prestige",2006,130,8.5,"
Drama, Mystery, Thriller            ",9700.02824871801,"0"
"37",37,"The Departed",2006,151,8.5,"
Crime, Drama, Thriller            ",1932.79150401708,"0"
"38",38,"The Pianist",2002,150,8.5,"
Biography, Drama, Music            ",9394.83150622575,"0"
"39",39,"Gladiator",2000,155,8.5,"
Action, Adventure, Drama            ",1494.44759289268,"0"
"40",40,"American History X",1998,119,8.5,"
Drama            ",3182.15107775759,"0"
"41",41,"The Usual Suspects",1995,106,8.5,"
Crime, Drama, Mystery            ",1357.40271060262,"0"
"42",42,"Léon",1994,110,8.5,"
Action, Crime, Drama            ",8253.35221468005,"0"
"43",43,"The Lion King",1994,88,8.5,"
Animation, Adventure, Drama            ",6718.74058639631,"0"
"44",44,"Terminator 2: Judgment Day",1991,137,8.5,"
Action, Sci-Fi            ",2431.90499204444,"0"
"45",45,"Nuovo Cinema Paradiso",1988,155,8.5,"
Drama, Romance            ",4193.86554502882,"0"
"46",46,"Hotaru no haka",1988,89,8.5,"
Animation, Drama, War            ",3284.57565264544,"0"
"47",47,"Back to the Future",1985,116,8.5,"
Adventure, Comedy, Sci-Fi            ",9531.417977768,"0"
"48",48,"Once Upon a Time in the West",1968,165,8.5,"
Western            ",2490.8936721622,"0"
"49",49,"Psycho",1960,109,8.5,"
Horror, Mystery, Thriller            ",4483.12435741071,"0"
"50",50,"Rear Window",1954,112,8.5,"
Mystery, Thriller            ",1505.48305192031,"0"
