"","state_names","confirmed","cured","deaths"
"1","Andaman and Nicobar",9943,9943,9636
"2","Andhra Pradesh",2306943,2306943,2238226
"3","Arunachal Pradesh",63724,63724,62178
"4","Assam",722368,722368,708177
"5","Bihar",827820,827820,813553
"6","Chandigarh",90896,90896,88501
"7","Chhattisgarh",1141767,1141767,1116380
"8","Dadra and Nagar Haveli and Daman and Diu",11404,11404,11312
"9","Delhi",1846198,1846198,1813280
"10","Goa",243128,243128,235444
"11","Gujarat",1205652,1205652,1161305
"12","Haryana",967397,967397,946742
"13","Himachal Pradesh",277998,277998,269126
"14","Jammu and Kashmir",448105,448105,431019
"15","Jharkhand",432169,432169,424583
"16","Karnataka",3906761,3906761,3794866
"17","Kerala",6323378,6323378,5979002
"18","Ladakh",27062,27062,26063
"19","Lakshadweep",11259,11259,11063
"20","Maharashtra",7816243,7816243,7573069
"21","Manipur",135170,135170,129494
"22","Meghalaya",92521,92521,89761
"23","Mizoram",189915,189915,175904
"24","Madhya Pradesh",1012781,1012781,964970
"25","Nagaland",34986,34986,33571
"26","Odisha",1269811,1269811,1245026
"27","Puducherry",164562,164562,159181
"28","Punjab",753124,753124,728178
"29","Rajasthan",1250891,1250891,1204206
"30","Sikkim",38784,38784,37779
"31","Tamil Nadu",3420505,3420505,3292559
"32","Telengana",779971,779971,754399
"33","Tripura",100715,100715,99261
"34","Uttar Pradesh",2048841,2048841,2002318
"35","Uttarakhand",430935,430935,412381
"36","West Bengal",2007249,2007249,1970356
